"day;avg_size;avg_speed;avg_senserange;dominant_size;dominant_speed;dominant_sense;n_creatures"
"540;1564;1234;559;1000;0;1000;20"
"541;1564;1238;562;1000;0;1000;16"
"542;1567;1234;565;999;0;999;14"
"543;1568;1228;567;999;0;999;13"
"544;1568;1220;566;999;0;999;13"
"545;1570;1215;565;999;0;999;15"
"546;1571;1217;567;1000;0;1000;17"
"547;1570;1216;566;1000;0;1000;16"
"548;1569;1216;564;1000;0;1000;17"
"549;1567;1217;565;1000;0;1000;18"
"550;1561;1218;570;1000;0;1000;21"
"551;1561;1225;572;1000;0;1000;16"
"552;1561;1225;575;1000;0;1000;16"
"553;1561;1228;576;999;0;999;15"
"554;1560;1229;579;1000;0;1000;20"
"555;1560;1233;578;1000;0;1000;20"
"556;1559;1231;577;1000;0;1000;21"
"557;1560;1234;573;1000;0;1000;21"
"558;1560;1234;569;1000;0;1000;17"
"559;1557;1237;570;999;0;999;19"
"560;1560;1235;570;1000;0;1000;20"
"561;1556;1238;571;1000;0;1000;16"
"562;1555;1238;569;1000;0;1000;16"
"563;1556;1240;572;1000;0;1000;18"
"564;1559;1238;575;1000;0;1000;20"
"565;1562;1243;576;1000;0;1000;18"
"566;1566;1248;578;999;0;999;15"
"567;1567;1245;574;999;0;999;15"
"568;1569;1244;577;999;0;999;15"
"569;1571;1242;576;999;0;999;15"
"570;1571;1242;575;1000;0;1000;16"
"571;1568;1244;576;1000;0;1000;17"
"572;1569;1237;574;1000;0;1000;16"
"573;1569;1235;577;999;0;999;15"
"574;1569;1231;579;1000;0;1000;18"
"575;1570;1230;580;1000;0;1000;18"
"576;1571;1232;584;1000;0;1000;20"
"577;1570;1232;581;1000;0;1000;18"
"578;1572;1235;582;1000;0;1000;18"
"579;1568;1235;588;1000;0;1000;18"
"580;1565;1242;586;999;0;999;19"
"581;1563;1243;584;1000;0;1000;21"
"582;1562;1243;583;1000;0;1000;21"
"583;1563;1243;583;999;0;999;19"
"584;1562;1242;585;999;0;999;23"
"585;1562;1240;589;999;0;999;22"
"586;1563;1239;592;1000;0;1000;18"
"587;1562;1238;590;1000;0;1000;17"
"588;1560;1237;588;1000;0;1000;17"
"589;1557;1235;592;1000;0;1000;18"
"590;1555;1240;589;1000;0;1000;17"
"591;1550;1243;589;1000;0;1000;18"
"592;1553;1241;595;1000;0;1000;21"
"593;1556;1240;592;1000;0;1000;21"
"594;1553;1240;584;1000;0;1000;21"
"595;1552;1239;584;1000;0;1000;21"
"596;1552;1239;584;1000;0;1000;18"
"597;1551;1242;585;1000;0;1000;17"
"598;1549;1238;593;1000;0;1000;20"
